precip_in,humidity,temp_f,cloud,uv,wind_mph,wind_degree,time,gust_mph
0.0,83,58.5,9,1.0,5.4,25,2024-06-09 00:00,11.3
0.0,82,57.4,8,1.0,5.4,22,2024-06-09 01:00,11.3
0.0,82,56.3,6,1.0,6.5,32,2024-06-09 02:00,13.6
0.0,83,55.6,5,1.0,4.0,35,2024-06-09 03:00,8.5
0.0,81,55.5,6,1.0,2.5,7,2024-06-09 04:00,5.2
0.0,79,55.1,5,1.0,4.0,355,2024-06-09 05:00,8.5
0.0,80,56.1,5,4.0,4.9,344,2024-06-09 06:00,10.3
0.0,81,58.4,4,4.0,4.7,315,2024-06-09 07:00,9.0
0.0,76,61.4,4,5.0,5.1,323,2024-06-09 08:00,7.4
0.0,69,64.4,4,5.0,5.8,330,2024-06-09 09:00,6.9
0.0,63,67.2,2,5.0,6.7,334,2024-06-09 10:00,7.7
0.0,56,69.7,3,6.0,7.4,340,2024-06-09 11:00,8.5
0.0,48,71.5,4,6.0,6.7,348,2024-06-09 12:00,7.7
0.0,45,73.0,3,6.0,6.7,340,2024-06-09 13:00,7.7
0.0,43,73.9,10,6.0,6.5,331,2024-06-09 14:00,7.5
0.0,43,74.6,23,6.0,6.9,322,2024-06-09 15:00,8.0
0.0,44,74.9,29,6.0,8.1,320,2024-06-09 16:00,9.6
0.0,46,74.3,23,6.0,8.1,322,2024-06-09 17:00,10.4
0.0,56,73.2,18,6.0,5.8,324,2024-06-09 18:00,8.6
0.0,63,70.5,17,6.0,6.3,327,2024-06-09 19:00,10.2
0.0,72,67.4,18,5.0,6.5,332,2024-06-09 20:00,13.5
0.0,76,64.9,17,1.0,7.2,340,2024-06-09 21:00,15.0
0.0,78,62.8,15,1.0,7.2,352,2024-06-09 22:00,15.0
0.0,81,61.2,14,1.0,6.9,21,2024-06-09 23:00,14.6
0.0,92,64.6,73,1.0,6.7,183,2024-06-08 00:00,13.1
0.0,94,64.5,84,1.0,8.3,168,2024-06-08 01:00,14.2
0.0,96,64.1,96,1.0,7.6,164,2024-06-08 02:00,11.8
0.0,96,63.5,100,1.0,8.7,182,2024-06-08 03:00,13.1
0.0,97,63.2,100,1.0,6.7,188,2024-06-08 04:00,10.1
0.0,97,63.0,100,1.0,4.9,184,2024-06-08 05:00,7.5
0.0,97,63.4,78,4.0,0.7,203,2024-06-08 06:00,1.1
0.0,94,64.8,78,4.0,3.1,199,2024-06-08 07:00,4.5
0.0,90,66.0,100,4.0,7.6,202,2024-06-08 08:00,9.4
0.0,88,66.8,100,4.0,8.1,210,2024-06-08 09:00,9.9
0.0,88,67.9,100,4.0,6.5,225,2024-06-08 10:00,8.2
0.0,86,68.8,100,5.0,6.7,252,2024-06-08 11:00,8.2
0.0,86,69.9,100,5.0,6.9,289,2024-06-08 12:00,8.9
0.0,81,71.2,100,5.0,10.7,342,2024-06-08 13:00,13.4
0.0,72,71.3,72,5.0,13.2,346,2024-06-08 14:00,15.2
0.0,69,70.3,50,6.0,14.3,340,2024-06-08 15:00,17.6
0.0,72,68.2,53,6.0,15.2,331,2024-06-08 16:00,19.0
0.0,76,66.7,89,4.0,10.7,352,2024-06-08 17:00,15.4
0.0,78,65.3,24,5.0,8.1,349,2024-06-08 18:00,12.1
0.0,80,64.8,21,5.0,8.1,359,2024-06-08 19:00,13.8
0.0,77,63.6,34,5.0,11.4,14,2024-06-08 20:00,19.3
0.0,74,62.3,31,1.0,8.3,5,2024-06-08 21:00,14.2
0.0,75,60.6,17,1.0,6.3,27,2024-06-08 22:00,11.5
0.0,80,59.7,17,1.0,6.3,32,2024-06-08 23:00,13.2
0.0,75,57.1,3,1.0,8.1,282,2024-06-07 00:00,16.9
0.0,75,56.4,2,1.0,8.3,281,2024-06-07 01:00,17.4
0.0,75,55.8,2,1.0,8.3,284,2024-06-07 02:00,17.4
0.0,76,55.1,2,1.0,7.8,284,2024-06-07 03:00,16.4
0.0,77,54.5,2,1.0,7.8,281,2024-06-07 04:00,16.4
0.0,78,54.0,2,1.0,7.8,279,2024-06-07 05:00,16.4
0.0,79,55.1,2,4.0,8.3,284,2024-06-07 06:00,17.4
0.0,80,58.1,2,4.0,7.8,295,2024-06-07 07:00,16.4
0.0,72,61.5,2,5.0,8.9,309,2024-06-07 08:00,14.3
0.0,64,64.8,2,5.0,10.5,316,2024-06-07 09:00,13.6
0.0,56,67.6,3,5.0,10.5,313,2024-06-07 10:00,12.6
0.0,51,69.8,4,6.0,10.7,317,2024-06-07 11:00,12.3
0.0,48,71.7,4,6.0,8.9,317,2024-06-07 12:00,10.3
0.0,46,73.3,6,6.0,7.4,313,2024-06-07 13:00,8.5
0.0,46,74.5,7,6.0,6.0,294,2024-06-07 14:00,7.0
0.0,46,75.4,8,6.0,5.1,269,2024-06-07 15:00,5.9
0.0,47,75.3,14,6.0,6.3,239,2024-06-07 16:00,7.5
0.0,54,73.5,29,6.0,6.0,207,2024-06-07 17:00,8.1
0.01,71,69.6,73,5.0,12.8,221,2024-06-07 18:00,16.8
0.0,87,67.5,15,5.0,6.3,206,2024-06-07 19:00,10.4
0.0,89,65.6,15,5.0,2.7,213,2024-06-07 20:00,5.0
0.0,88,64.7,13,1.0,0.9,224,2024-06-07 21:00,1.9
0.0,86,63.7,10,1.0,3.8,142,2024-06-07 22:00,8.0
0.0,87,62.6,86,1.0,7.2,133,2024-06-07 23:00,15.0
0.0,80,59.3,5,1.0,8.5,273,2024-06-06 00:00,17.9
0.0,83,58.1,3,1.0,8.5,271,2024-06-06 01:00,17.9
0.0,83,57.3,2,1.0,9.2,269,2024-06-06 02:00,19.3
0.0,82,56.8,3,1.0,9.4,272,2024-06-06 03:00,19.7
0.0,77,56.5,2,1.0,11.4,282,2024-06-06 04:00,24.0
0.0,75,55.7,4,1.0,11.6,295,2024-06-06 05:00,24.3
0.0,77,56.5,6,4.0,10.3,289,2024-06-06 06:00,21.6
0.0,73,58.7,6,4.0,12.8,285,2024-06-06 07:00,25.2
0.0,66,61.0,3,5.0,15.9,292,2024-06-06 08:00,24.3
0.0,62,63.0,0,5.0,17.9,298,2024-06-06 09:00,23.4
0.0,59,64.5,0,5.0,19.0,299,2024-06-06 10:00,22.1
0.0,55,65.9,0,5.0,20.6,303,2024-06-06 11:00,23.7
0.0,53,67.2,3,5.0,21.0,304,2024-06-06 12:00,24.2
0.0,51,68.6,28,6.0,21.0,303,2024-06-06 13:00,24.2
0.0,50,69.8,30,6.0,21.0,302,2024-06-06 14:00,24.2
0.0,51,70.7,24,6.0,20.4,304,2024-06-06 15:00,23.5
0.0,54,70.8,18,6.0,18.8,306,2024-06-06 16:00,22.1
0.0,56,70.3,15,6.0,17.4,307,2024-06-06 17:00,22.4
0.0,58,69.0,16,6.0,16.3,309,2024-06-06 18:00,23.3
0.0,61,66.7,12,5.0,15.0,309,2024-06-06 19:00,24.4
0.0,65,63.6,9,5.0,11.6,307,2024-06-06 20:00,22.5
0.0,71,61.1,6,1.0,8.3,295,2024-06-06 21:00,17.4
0.0,75,59.4,5,1.0,7.6,285,2024-06-06 22:00,16.0
0.0,78,58.3,4,1.0,7.6,284,2024-06-06 23:00,16.0
0.0,93,64.1,76,1.0,9.8,325,2024-06-05 00:00,18.1
0.0,91,61.1,14,1.0,12.1,330,2024-06-05 01:00,21.0
0.0,92,58.7,0,1.0,8.5,316,2024-06-05 02:00,16.6
0.0,92,56.7,0,1.0,7.6,312,2024-06-05 03:00,16.0
0.0,91,55.3,0,1.0,6.7,321,2024-06-05 04:00,14.1
0.0,90,54.5,0,1.0,6.5,307,2024-06-05 05:00,13.6
0.0,88,55.6,0,4.0,5.8,302,2024-06-05 06:00,12.2
0.0,84,58.2,0,4.0,4.7,286,2024-06-05 07:00,9.8
0.0,75,61.5,0,5.0,6.9,269,2024-06-05 08:00,11.0
0.0,67,65.1,4,5.0,7.8,266,2024-06-05 09:00,10.1
0.0,62,68.5,5,6.0,11.9,249,2024-06-05 10:00,14.1
